SNR,FER,BER
2.00,9.983000e-01,7.033507e-02
2.25,9.915000e-01,5.760789e-02
2.50,9.707000e-01,4.499687e-02
2.75,9.174500e-01,3.300526e-02
3.00,8.239500e-01,2.244916e-02
3.25,6.904000e-01,1.409370e-02
3.50,5.294500e-01,8.121230e-03
3.75,3.782500e-01,4.372470e-03
4.00,2.579000e-01,2.269792e-03
4.25,1.711000e-01,1.207937e-03
4.50,1.112000e-01,6.547619e-04
4.75,7.195000e-02,3.589782e-04
5.00,4.640000e-02,2.061012e-04
5.25,2.960000e-02,1.198413e-04
5.50,1.840000e-02,7.142857e-05
5.75,1.120000e-02,4.047619e-05
6.00,7.050000e-03,2.455357e-05
6.25,4.150000e-03,1.284722e-05
6.50,2.250000e-03,7.242063e-06
6.75,1.050000e-03,3.521825e-06
7.00,7.500000e-04,2.281746e-06
