SNR,FER,BER
2.00,9.811000e-01,6.864921e-02
2.25,9.338000e-01,5.276339e-02
2.50,8.175000e-01,3.671835e-02
2.75,6.290000e-01,2.225188e-02
3.00,4.048000e-01,1.170188e-02
3.25,2.169000e-01,5.005357e-03
3.50,8.930000e-02,1.731746e-03
3.75,3.090000e-02,4.882937e-04
4.00,9.000000e-03,1.142857e-04
4.25,1.900000e-03,2.182540e-05
4.50,1.200000e-03,1.031746e-05
4.75,1.000000e-04,3.968254e-07
5.00,0.000000e+00,0.000000e+00
5.25,0.000000e+00,0.000000e+00
5.50,0.000000e+00,0.000000e+00
5.75,0.000000e+00,0.000000e+00
6.00,0.000000e+00,0.000000e+00
6.25,0.000000e+00,0.000000e+00
6.50,0.000000e+00,0.000000e+00
6.75,0.000000e+00,0.000000e+00
7.00,0.000000e+00,0.000000e+00
