SNR,FER,BER
2.00,9.968000e-01,7.618869e-02
2.25,9.851000e-01,6.219058e-02
2.50,9.490000e-01,4.768879e-02
2.75,8.489000e-01,3.382252e-02
3.00,6.852000e-01,2.121409e-02
3.25,4.841000e-01,1.182163e-02
3.50,2.848000e-01,5.584623e-03
3.75,1.462000e-01,2.251587e-03
4.00,6.510000e-02,7.784722e-04
4.25,2.750000e-02,2.608135e-04
4.50,1.370000e-02,9.464286e-05
4.75,6.600000e-03,4.136905e-05
5.00,4.300000e-03,2.222222e-05
5.25,2.800000e-03,1.259921e-05
5.50,1.100000e-03,5.158730e-06
5.75,1.100000e-03,4.464286e-06
6.00,5.000000e-04,2.380952e-06
6.25,2.000000e-04,7.936508e-07
6.50,2.000000e-04,6.944444e-07
6.75,2.000000e-04,6.944444e-07
7.00,0.000000e+00,0.000000e+00
