SNR,FER,BER
2.00,9.811000e-01,6.652361e-02
2.25,9.299000e-01,5.088423e-02
2.50,8.183000e-01,3.538750e-02
2.75,6.241000e-01,2.155873e-02
3.00,3.982000e-01,1.120853e-02
3.25,2.065000e-01,4.750000e-03
3.50,8.860000e-02,1.682639e-03
3.75,3.030000e-02,4.874008e-04
4.00,8.700000e-03,1.009921e-04
4.25,2.600000e-03,2.470238e-05
4.50,1.100000e-03,7.341270e-06
4.75,6.000000e-04,4.464286e-06
5.00,1.000000e-04,1.190476e-06
5.25,0.000000e+00,0.000000e+00
5.50,1.000000e-04,9.920635e-07
5.75,0.000000e+00,0.000000e+00
6.00,0.000000e+00,0.000000e+00
6.25,0.000000e+00,0.000000e+00
6.50,0.000000e+00,0.000000e+00
6.75,0.000000e+00,0.000000e+00
7.00,0.000000e+00,0.000000e+00
